KDA,Largest Killing Spree,Largest Multi Kill,First Blood,Total Damage to Champions,Physical Damage to Champions,Magic Damage to Champions,True Damage to Champions,Total Damage Dealt,Physical Damage Dealt,Magic Damage Dealt,True Damage Dealt,Largest Critical Strike,Total Damage to Objectives,Total Damage to Turrets,Damage Healed,Damage Taken,Physical Damage Taken,Magic Damage Taken,True Damage Taken,Wards Placed,Wards Destroyed,Stealth Wards Purchased,Control Wards Purchased,Gold Earned,Gold Spent,Minions Killed,Neutral Minions Killed,Neutral Minions Killed in Team's Jungle,Neutral Minions Killed in Enemy Jungle,url,champion
5/2/10,5,2,○,14.2k,0.5k,12.7k,1.0k,198.2k,40.1k,139.1k,19.0k,-,59.4k,3.3k,17.7k,27.8k,18.4k,9.0k,0.5k,49,31,-,12,14.3k,12.8k,47,162,73,29,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
7/1/6,4,1,●,16.2k,13.8k,1.5k,1.0k,221.4k,193.7k,24.1k,3.6k,-,3.5k,1.5k,7.1k,14.8k,10.3k,4.4k,0.1k,30,25,-,7,15.6k,13.6k,272,35,17,8,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
3/0/7,3,2,○,15.9k,12.7k,3.2k,0.0k,293.5k,260.0k,25.7k,7.9k,779,37.0k,7.9k,1.8k,6.8k,5.6k,1.2k,0.1k,16,21,-,5,17.1k,15.2k,357,31,21,6,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Varus
1/1/10,1,1,○,3.0k,0.3k,2.8k,0.0k,27.4k,6.1k,12.5k,8.8k,-,6.4k,1.3k,11.6k,18.1k,12.4k,5.2k,0.5k,64,5,-,21,9.1k,8.0k,25,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,TahmKench
1/1/5,1,1.1,○,6.7k,5.3k,1.4k,0.0k,108.2k,103.6k,1.4k.1,3.2k,-,5.0k,3.1k,3.5k,11.5k,8.3k,3.1k.1,0.1k,16,4,-.1,7,10.2k,9.2k,207,-.2,-.3,-.4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Renekton
3/1/5,3,1,○,7.2k,4.6k,0.0k,2.5k,170.3k,131.0k,8.6k,30.7k,-,38.3k,3.6k,15.6k,21.8k,17.6k,4.0k,0.2k,24,14,-,9,10.9k,8.9k,20,177,82,25,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,RekSai
5/1/7,5,2,○,11.4k,1.5k,9.8k,0.1k,161.4k,23.7k,136.6k,1.1k,-,7.6k,1.1k,7.0k,12.5k,6.8k,5.5k,0.2k,16,4,-,8,12.6k,11.0k,245,32,16,16,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
11/0/4,11,4,○,21.5k,19.8k,0.8k,0.8k,251.7k,240.9k,3.5k,7.3k,826,30.1k,8.9k,1.4k,6.6k,5.2k,1.3k,0.1k,13,9,-,4,16.1k,14.4k,295,33,28,1,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
1/1/13,1,1,○,4.0k,0.6k,2.5k,1.0k,19.6k,6.1k,6.6k,6.8k,-,5.1k,4.5k,2.0k,5.5k,4.1k,1.2k,0.2k,42,18,-,14,8.2k,7.1k,39,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
1/3/2,1,1,●,5.5k,5.5k,0.0k,0.0k,114.7k,111.9k,0.0k,2.8k,-,4.5k,0.3k,4.1k,15.4k,9.8k,3.4k,2.2k,16,6,-,7,9.5k,9.3k,228,8,1,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
0/4/2,0,0,○,3.0k,1.5k,1.3k,0.3k,110.5k,55.7k,47.7k,7.1k,-,8.9k,0.3k,6.0k,16.8k,11.7k,4.2k,0.9k,12,18,-,12,7.3k,7.3k,21,107,88,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Sejuani
1/3/3,1,1,○,9.8k,0.3k,9.4k,0.0k,134.1k,7.2k,125.5k,1.5k,-,4.0k,2.0k,1.2k,11.5k,8.2k,2.6k,0.7k,14,3,-,7,10.3k,8.7k,234,13,10,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Azir
2/5/2,2,2,○,9.4k,9.2k,0.1k,0.1k,141.3k,140.6k,0.3k,0.4k,764,2.5k,1.4k,1.1k,11.3k,7.9k,2.8k,0.7k,13,15,-,5,9.8k,9.7k,231,8,8,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
0/6/2,0,0,○,2.0k,0.5k,1.1k,0.4k,19.6k,7.1k,3.8k,8.7k,-,2.2k,0.3k,0.1k,10.4k,8.0k,2.4k,0.1k,41,6,-,18,5.5k,5.4k,34,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
0/4/2,0,0.1,○,3.1k,3.0k,0.0k,0.0k.1,118.4k,111.7k,0.0k.2,6.7k,-,1.1k,0.7k,2.5k,15.0k,9.4k,4.2k,1.4k,20,9,-.1,11,10.1k,9.6k,222,9.1,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Pantheon
0/4/3,0,0,○,9.5k,0.3k,8.5k,0.7k,159.1k,40.5k,108.5k,10.1k,-,20.1k,0.0k,9.7k,18.8k,13.6k,4.7k,0.5k,21,6,-,12,9.1k,8.9k,9,160,120,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
2/3/1,2,1,○,6.7k,0.8k,5.9k,0.0k,125.7k,23.1k,101.0k,1.6k,-,3.3k,0.3k,3.5k,16.1k,11.7k,3.8k,0.6k,13,5,-,2,10.3k,8.9k,221,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Nautilus
2/4/0,2,1,○,13.2k,12.8k,0.3k,0.1k,242.1k,234.3k,2.2k,5.7k,689,10.9k,3.9k,2.3k,11.3k,7.2k,3.3k,0.8k,13,16,-,4,14.5k,14.5k,318,37,25,12,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
0/2/2,0,0,○,2.9k,0.3k,2.1k,0.5k,15.2k,5.3k,4.1k,5.9k,-,1.6k,0.9k,2.3k,10.6k,6.5k,2.4k,1.7k,76,21,-,22,6.7k,6.5k,43,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
4/1/6,3,2,○,12.2k,11.6k,0.3k,0.2k,202.8k,195.3k,0.3k,7.2k,835,18.7k,6.1k,1.2k,7.7k,3.9k,3.8k,0.1k,23,9,-,12,15.2k,13.2k,298,16,4,9,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Quinn
8/0/3,8,5,○,12.3k,8.2k,0.2k,3.9k,199.0k,154.3k,7.2k,37.5k,-,48.4k,2.9k,16.2k,25.3k,19.2k,5.8k,0.2k,13,27,-,13,13.5k,11.9k,35,171,105,9,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Olaf
2/0/12,2,1,○,13.9k,0.6k,13.4k,0.0k,166.8k,13.7k,145.2k,7.9k,-,6.5k,3.6k,0.6k,7.4k,3.9k,3.4k,0.0k,20,12,-,10,13.1k,11.7k,237,17,17,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Orianna
3/1/7,2,2,●,13.6k,12.0k,1.3k,0.3k,263.9k,252.2k,6.2k,5.5k,984,29.5k,8.7k,1.5k,7.2k,4.4k,2.8k,0.0k,18,12,-,7,15.0k,13.0k,301,34,22,8,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
0/2/5,0,0,○,2.8k,0.8k,1.5k,0.5k,15.4k,4.7k,3.1k,7.7k,-,0.5k,0.2k,1.5k,11.5k,5.8k,4.8k,1.0k,67,21,-,23,8.1k,7.6k,40,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Leona
1/5/1,1,1.1,○,13.0k,1.1k,11.9k,0.0k,129.6k,15.9k,109.6k,4.1k,-,10.8k,2.5k,4.5k,21.0k,11.0k,8.5k,1.5k,13,2,-.1,3,10.4k,9.9k,194,8,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Mordekaiser
0/5/1,0,0,○,3.4k,2.6k,0.7k,0.2k,140.7k,87.1k,45.0k,8.6k,-,12.5k,0.0k,9.0k,26.2k,15.4k,10.3k,0.5k,5,14,-,5,8.2k,7.9k,22,136,107,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,JarvanIV
1/3/2,1,1,○,9.7k,0.3k,9.4k,0.0k,208.4k,11.3k,195.9k,1.3k,-,7.8k,2.2k,5.4k,16.2k,11.2k,4.2k,0.8k,16,14,-,7,12.1k,12.2k,293,30,12,7,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Ryze
0/5/2,0,0,○,11.4k,11.3k,0.0k,0.1k,173.2k,173.1k,0.0k,0.1k,581,4.6k,1.8k,1.1k,11.3k,5.7k,5.0k,0.6k,19,6,-,10,11.4k,10.8k,267,31,27,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Xayah
1/3/1,1,1,○,5.3k,1.1k,3.3k,0.9k,13.5k,5.2k,7.3k,0.9k,-,1.7k,1.4k,2.5k,8.7k,5.5k,2.9k,0.3k,53,20,-,24,6.5k,6.3k,23,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rakan
4/1/9,2,1,○,19.8k,17.5k,2.1k,0.2k,188.9k,182.3k,3.9k,2.7k,-,12.8k,5.1k,12.8k,28.2k,12.6k,15.2k,0.4k,18,7,-,8,13.7k,12.2k,243,27,12,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Renekton
2/1/8,2,1,○,9.2k,1.0k,7.5k,0.8k,142.4k,36.7k,96.4k,9.3k,-,26.4k,3.3k,10.6k,16.8k,11.3k,4.8k,0.7k,46,24,-,16,10.1k,8.8k,37,138,86,8,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Elise
5/0/7,5,1,○,15.2k,0.5k,12.4k,2.3k,163.8k,10.5k,125.0k,28.3k,-,12.8k,2.7k,3.4k,7.7k,5.3k,2.4k,0.0k,17,7,-,9,12.9k,11.3k,247,8,8,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Velkoz
10/1/4,8,3,●,11.4k,8.6k,2.5k,0.3k,174.1k,148.6k,14.8k,10.8k,568,24.6k,6.5k,2.0k,8.7k,6.4k,2.3k,0.0k,12,12,-,4,14.6k,13.1k,251,24,12,8,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Varus
0/0/13,0,0,○,3.6k,0.7k,2.9k,0.0k,21.3k,7.2k,7.8k,6.3k,-,3.7k,0.8k,4.2k,8.8k,5.9k,2.7k,0.2k,44,3,-,14,7.4k,6.4k,24,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Braum
6/1/8,4,2,○,18.1k,5.3k,12.8k,0.0k,139.2k,45.6k,86.6k,7.0k,-,9.3k,6.2k,4.8k,13.0k,6.5k,6.3k,0.2k,13,4.1,-.1,6,12.2k,11.3k,229,8,4.2,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Kennen
4/1/8,4,3,○,7.8k,4.8k,0.4k,2.6k,119.2k,76.7k,17.9k,24.6k,-,36.2k,1.0k,8.6k,20.3k,15.5k,4.7k,0.1k,36,23,-,13,9.5k,8.7k,36,101,68,3,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Olaf
3/1/11,2,2,●,10.5k,3.6k,6.7k,0.2k,86.4k,43.5k,37.0k,5.8k,-,12.9k,2.6k,4.2k,15.1k,7.2k,7.6k,0.3k,11,3,-,3,9.2k,8.7k,152,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Ornn
5/1/9,5,3,○,16.1k,15.3k,0.8k,0.0k,157.3k,153.1k,1.9k,2.2k,869,15.6k,7.2k,0.1k,8.0k,3.1k,4.9k,0.0k,10,8,-,2,12.1k,10.3k,233,24,17,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/0/14,1,1,○,4.4k,0.8k,3.6k,0.0k,16.3k,4.9k,5.7k,5.6k,-,0.4k,0.4k,1.2k,7.2k,2.9k,4.1k,0.3k,30,5,-,8,7.0k,5.9k,24,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Braum
0/3/2,0,0,○,9.6k,0.6k,9.1k,0.0k,123.9k,16.9k,103.0k,4.0k,-,10.0k,1.2k,17.5k,22.8k,15.9k,6.4k,0.5k,13,3,-,5,8.4k,8.1k,215,8,5,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Vladimir
1/4/3,1,1,○,5.1k,3.8k,0.8k,0.4k,125.2k,97.8k,20.1k,7.3k,-,10.0k,0.5k,6.9k,21.0k,14.0k,6.0k,0.9k,7,5,-,4,8.2k,7.8k,9,140,107,3,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,LeeSin
3/5/1,2,1,○,11.9k,0.3k,11.6k,0.0k,101.5k,10.7k,84.4k,6.4k,-,1.5k,0.0k,2.0k,13.6k,7.3k,5.8k,0.6k,13,4,-,6,9.5k,9.1k,214,4,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
0/3/2,0,0,○,9.2k,7.1k,2.0k,0.1k,93.7k,85.3k,7.7k,0.8k,-,4.9k,2.3k,2.0k,10.0k,5.6k,4.2k,0.2k,9,6,-,3,8.2k,7.6k,204,12,4,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Varus
0/4/2,0,0,○,2.8k,0.4k,2.0k,0.4k,14.6k,2.9k,5.7k,6.0k,-,0.0k,0.0k,0.5k,8.4k,3.7k,4.0k,0.7k,36,16,-,16,5.1k,4.8k,39,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Thresh
9/2/5,7,4,●,15.1k,9.8k,0.3k,5.1k,166.8k,139.9k,0.3k.1,26.5k,-,22.1k,14.5k,3.1k,15.3k,11.7k,3.1k.1,0.4k,12,3,-.1,3.1,14.9k,13.0k,225,13,5,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Camille
3/2/3,2,1,○,7.1k,6.2k,0.4k,0.5k,122.1k,96.3k,16.1k,9.7k,-,15.4k,0.0k,7.4k,16.8k,14.0k,2.7k,0.1k,23,11,-,12,8.8k,8.7k,23,114,83,7,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Qiyana
0/0/12,0,0,○,9.5k,0.2k,9.3k,0.0k,110.4k,9.2k,100.3k,0.9k,-,8.2k,1.4k,1.5k,4.7k,2.7k,2.0k,0.0k,11,6,-,5,9.2k,8.2k,188,12,8,4,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Orianna
1/0/10,1,1,○,9.9k,8.9k,0.4k,0.6k,144.2k,137.8k,2.1k,4.3k,821,11.2k,6.8k,0.1k,5.8k,4.5k,1.1k,0.2k,12,12,-,4,11.3k,9.1k,260,8,8,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,MissFortune
1/0/9,1,1,○,2.0k,0.2k,1.8k,0.0k,16.2k,5.6k,5.0k,5.5k,-,2.7k,0.8k,2.7k,7.5k,5.9k,1.6k,0.0k,35,5,-,11,6.7k,5.4k,25,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Braum
1/3/2,1,1,○,6.2k,6.2k,0.0k,0.0k,130.4k,130.4k,0.0k,0.0k,-,4.9k,1.0k,5.6k,18.5k,13.7k,2.7k,2.1k,14,7,-,7,9.3k,8.8k,225,12,12,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Aatrox
1/3/2,1,1,○,5.1k,4.5k,0.3k,0.2k,128.5k,95.9k,21.4k,11.3k,-,26.3k,0.0k,6.6k,19.8k,14.9k,4.1k,0.8k,8,6,-,5,7.5k,7.5k,11,130,89,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,LeeSin
2/3/0,2,1,○,4.9k,0.8k,4.1k,0.0k,103.6k,25.9k,73.7k,4.0k,-,5.1k,0.3k,2.0k,14.0k,7.9k,4.8k,1.4k,15,13,-,3,9.7k,9.6k,226,13,7,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Fizz
0/2/1,0,0,○,8.8k,6.9k,1.9k,0.0k,146.7k,129.2k,13.5k,4.0k,435,7.3k,2.5k,0.8k,6.0k,3.0k,1.5k,1.5k,11,7,-,5,10.4k,9.6k,262,20,20,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Varus
0/3/1,0,0,○,1.7k,0.0k,1.2k,0.5k,20.6k,6.1k,5.9k,8.5k,-,1.0k,0.5k,0.3k,6.9k,4.5k,1.9k,0.6k,39,10,-,14,5.6k,5.5k,38,-,-,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Thresh
0/6/1,0,0.1,○,8.5k,0.2k,8.3k,0.0k,70.8k,6.5k,61.6k,2.6k,-,4.9k,0.0k.1,0.0k.2,11.3k,6.4k,4.8k,0.1k,8,4,-.1,1,6.2k,5.9k,147,1.1,1.2,-.2,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Rumble
1/5/0,1,1,○,6.8k,5.0k,0.0k,1.8k,120.6k,98.3k,4.8k,17.5k,-,13.3k,0.0k,8.5k,19.2k,11.5k,7.5k,0.2k,8,9,-,8,6.8k,6.5k,16,122,100,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Olaf
0/4/1,0,0,○,8.4k,1.0k,7.3k,0.0k,98.8k,10.2k,82.0k,6.7k,-,0.7k,0.0k,0.7k,9.7k,6.3k,3.4k,0.1k,8,1,-,3,7.2k,6.3k,171,9,9,-,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1241318?gameHash=1e74b79c70aa5601,Syndra
